trial,pass,step,foot,Step Length (cm.),Stride Velocity (cm./sec.),Stride Width (cm.),Step Time (sec.),Stance Time (sec.),Swing Time (sec.),Stride Length (cm.),Stride Time (sec.),Stance %,Swing %,Single Support (sec.),Single Support %,Total D. Support (sec.),Total D. Support %,Gait Cycle Time (sec.),Initial D. Support (sec.),Initial D. Support %,Terminal D. Support (sec.),Terminal D. Support %
1,1,1,right,85.625,148.264,6.383,0.558,0.683,0.425,164.326,1.108,61.654,38.346,,,,,1.108,,,0.133,12.03
1,1,1,left,80.4,153.319,5.352,0.525,0.667,0.417,166.095,1.083,61.538,38.462,0.425,39.231,0.242,22.308,1.083,0.133,12.308,0.108,10
1,1,2,right,85.171,160.246,5.107,0.508,0.642,0.392,165.587,1.033,62.097,37.903,0.417,40.323,0.225,21.774,1.033,0.108,10.484,0.117,11.29
1,1,2,left,83.878,164.778,7.199,0.517,0.617,0.408,168.898,1.025,60.163,39.837,0.392,38.211,0.225,21.951,1.025,0.117,11.382,0.108,10.569
1,1,3,right,84.724,161.737,8.539,0.525,0.625,0.417,168.476,1.042,60,40,0.408,39.2,0.217,20.8,1.042,0.108,10.4,0.108,10.4
1,1,3,left,75.762,155.369,7.901,0.508,0.633,0.4,160.548,1.033,61.29,38.71,0.417,40.323,0.217,20.968,1.033,0.108,10.484,0.108,10.484
1,1,4,right,,,,,0.633,,,,,,0.4,,0.233,,,0.108,,0.125,
1,1,4,left,,,,,0.617,,,,,,,,,,,0.125,,,
1,2,1,right,88.095,170.063,6.811,0.508,0.617,0.408,174.314,1.025,60.163,39.837,,,,,1.025,,,0.1,9.756
1,2,1,left,86.763,169.231,6.624,0.525,0.608,0.425,174.872,1.033,58.871,41.129,0.408,39.516,0.2,19.355,1.033,0.1,9.677,0.1,9.677
1,2,2,right,88.82,168.671,4.883,0.517,0.625,0.417,175.698,1.042,60,40,0.425,40.8,0.2,19.2,1.042,0.1,9.6,0.1,9.6
1,2,2,left,88.133,168.578,3.781,0.533,0.625,0.425,177.007,1.05,59.524,40.476,0.417,39.683,0.208,19.841,1.05,0.1,9.524,0.108,10.317
1,2,3,right,86.591,166.373,4.484,0.517,0.633,0.417,174.691,1.05,60.317,39.683,0.425,40.476,0.208,19.841,1.05,0.108,10.317,0.1,9.524
1,2,3,left,,,,,0.625,,,,,,0.417,,0.208,,,0.1,,0.108,
1,2,4,right,,,,,0.65,,,,,,,,,,,0.108,,,
2,1,1,right,81.87,147.274,5.246,0.533,0.675,0.417,160.774,1.092,61.832,38.168,,,,,1.092,,,0.117,10.687
2,1,1,left,81.874,157.066,7.016,0.508,0.633,0.408,163.611,1.042,60.8,39.2,0.417,40,0.217,20.8,1.042,0.117,11.2,0.1,9.6
2,1,2,right,84.298,164.879,5.987,0.5,0.608,0.4,166.253,1.008,60.331,39.669,0.408,40.496,0.2,19.835,1.008,0.1,9.917,0.1,9.917
2,1,2,left,81.73,163.346,5.384,0.517,0.625,0.392,166.069,1.017,61.475,38.525,0.4,39.344,0.225,22.131,1.017,0.1,9.836,0.125,12.295
2,1,3,right,81.738,158.08,6.948,0.517,0.625,0.408,163.35,1.033,60.484,39.516,0.392,37.903,0.233,22.581,1.033,0.125,12.097,0.108,10.484
2,1,3,left,77.492,155.261,7.909,0.508,0.625,0.4,159.143,1.025,60.976,39.024,0.408,39.837,0.217,21.138,1.025,0.108,10.569,0.108,10.569
2,1,4,right,,,,,0.642,,,,,,0.4,,0.242,,,0.108,,0.133,
2,1,4,left,,,,,0.617,,,,,,,,,,,0.133,,,
2,2,1,right,83.795,154.472,4.597,0.525,0.642,0.417,163.483,1.058,60.63,39.37,,,,,1.058,,,0.108,10.236
2,2,1,left,78.989,157.353,7.235,0.508,0.625,0.408,162.598,1.033,60.484,39.516,0.417,40.323,0.208,20.161,1.033,0.108,10.484,0.1,9.677
2,2,2,right,85.2,160.193,7.141,0.517,0.625,0.4,164.198,1.025,60.976,39.024,0.408,39.837,0.217,21.138,1.025,0.1,9.756,0.117,11.382
2,2,2,left,79.939,159.944,5.252,0.517,0.625,0.408,165.276,1.033,60.484,39.516,0.4,38.71,0.225,21.774,1.033,0.117,11.29,0.108,10.484
2,2,3,right,79.556,155.715,3.062,0.508,0.642,0.383,159.608,1.025,62.602,37.398,0.408,39.837,0.233,22.764,1.025,0.108,10.569,0.125,12.195
2,2,3,left,72.317,150.381,6.874,0.5,0.617,0.392,151.634,1.008,61.157,38.843,0.383,38.017,0.233,23.14,1.008,0.125,12.397,0.108,10.744
2,2,4,right,,,,,0.617,,,,,,0.392,,0.225,,,0.108,,0.117,
2,2,4,left,,,,,0.642,,,,,,,,,,,0.117,,,
